sname,dname,numtsttakr12,numtsttakr11,pct_erw_bm_12,pct_math_bm_12,pct_erw_bm_11,pct_math_bm_11,imp_erw_bm_12,imp_math_bm_12,imp_erw_bm_11,imp_math_bm_11,tot_imp_erw_bm_12,tot_imp_math_bm_12,tot_imp_erw_bm_11,tot_imp_math_bm_11
Augustus F. Hawkins High A Critical Design and Gaming,Los Angeles Unified,50,100,0.28,0.12000000000000001,0.14,0.07,0.21677600000000002,0.092904,0.10838800000000001,0.054194000000000006,11,5,11,5
ICEF View Park Preparatory High,Los Angeles Unified,73,25,0.3699,0.0959,0.48000000000000004,0.08,0.28637658,0.07424578,0.371616,0.061936,21,5,9,2
Panorama High,Los Angeles Unified,142,224,0.3099,0.1197,0.2723,0.0848,0.23992458,0.09267174,0.21081466,0.06565216,34,13,47,15
Sacramento Charter High,Sacramento City Unified,85,95,0.3765,0.1882,0.5263,0.2632,0.2914863,0.14570444000000002,0.40746146,0.20376944,25,12,39,19
Crawford High,San Diego Unified,168,126,0.24400000000000002,0.1369,0.5159,0.23020000000000002,0.1889048,0.10598798,0.39940978,0.17822084000000002,32,18,50,22
CATCH Prep Charter High Inc.,Los Angeles Unified,33,35,0.39390000000000003,0.09090000000000001,0.3714,0.1143,0.30495738,0.07037478000000001,0.28753788,0.08849106,10,2,10,3
Richmond High,West Contra Costa Unified,322,94,0.3012,0.1491,0.5213,0.3085,0.23318904000000001,0.11543322,0.40359046,0.2388407,75,37,38,22
Eastside High,Antelope Valley Union High,185,415,0.5622,0.09730000000000001,0.3687,0.0771,0.43525524000000004,0.07532966,0.28544754,0.05969082,81,14,118,25
Maywood Academy High,Los Angeles Unified,109,220,0.37610000000000005,0.0917,0.34090000000000004,0.1273,0.29117662000000005,0.07099414,0.26392478,0.09855566,32,8,58,22
Buena Vista High,Paramount Unified,68,63,0.029400000000000003,0.0,0.0476,0.0159,0.02276148,0.0,0.03685192,0.012309780000000001,2,0,2,1
Augustus F. Hawkins High B Community Health Advocates,Los Angeles Unified,40,87,0.2,0.0,0.1494,0.0115,0.15484,0.0,0.11566548,0.0089033,6,0,10,1
McLane High,Fresno Unified,57,284,0.4035,0.1579,0.3486,0.0915,0.3123897,0.12224618000000001,0.26988612,0.0708393,18,7,77,20
Corcoran High,Corcoran Joint Unified,49,36,0.551,0.34690000000000004,0.5556,0.16670000000000001,0.4265842,0.26856998000000004,0.43014552,0.12905914000000002,21,13,15,5
Alternatives in Action,Alameda Unified,25,26,0.24000000000000002,0.0,0.07690000000000001,0.0385,0.185808,0.0,0.05953598000000001,0.0298067,5,0,2,1
Marco Antonio Firebaugh High,Lynwood Unified,105,362,0.5429,0.1905,0.39780000000000004,0.1298,0.42031318000000006,0.1474851,0.30797676,0.10049116,44,15,111,36
Humanitas Academy of Art and Technology at Esteban E. Torres High No. 4,Los Angeles Unified,35,70,0.4857,0.0857,0.3714,0.1,0.37602894000000003,0.06634894,0.28753788,0.07742,13,2,20,5
William C. Overfelt High,East Side Union High,133,260,0.5038,0.3158,0.5115000000000001,0.3154,0.39004196,0.24449236000000002,0.39600330000000006,0.24418268,52,33,103,63
San Jose High,San Jose Unified,35,241,0.4857,0.3143,0.3859,0.166,0.37602894000000003,0.24333106000000002,0.29876378000000003,0.1285172,13,9,72,31
City Arts and Tech High,San Francisco Unified,41,48,0.3659,0.1951,0.33330000000000004,0.2083,0.28327978,0.15104642,0.25804086000000004,0.16126586,12,6,12,8
Everest Public High,Sequoia Union High,42,96,0.5,0.21430000000000002,0.45830000000000004,0.30210000000000004,0.3871,0.16591106000000003,0.35481586000000004,0.23388582000000002,16,7,34,22
Contreras Learning Center-Academic Leadership Community,Los Angeles Unified,63,84,0.1905,0.0476,0.33330000000000004,0.21430000000000002,0.1474851,0.03685192,0.25804086000000004,0.16591106000000003,9,2,22,14
Centennial High,Compton Unified,46,182,0.39130000000000004,0.06520000000000001,0.2857,0.0989,0.30294446,0.05047784,0.22118894,0.07656838,14,2,40,14
Santa Ana High,Santa Ana Unified,551,208,0.24680000000000002,0.1343,0.4904,0.3365,0.19107256,0.10397506000000001,0.37966768,0.26051830000000004,105,57,79,54
Parlier High,Parlier Unified,51,66,0.451,0.2745,0.4394,0.197,0.34916420000000004,0.2125179,0.34018348,0.1525174,18,11,22,10
Gardena Senior High,Los Angeles Unified,84,299,0.4762,0.1905,0.3411,0.12040000000000001,0.36867404000000004,0.1474851,0.26407962,0.09321368000000001,31,12,79,28
David Starr Jordan Senior High,Los Angeles Unified,27,96,0.25930000000000003,0.2222,0.2396,0.0521,0.20075006000000004,0.17202724,0.18549832,0.04033582,5,5,18,4
Cesar E. Chavez Learning Academies-Academy of Scientific Exploration (ASE),Los Angeles Unified,47,91,0.4681,0.21280000000000002,0.4505,0.2088,0.36240302,0.16474976000000002,0.3487771,0.16165296,17,8,32,15
Cesar E. Chavez Learning Academies-Technology Preparatory Academy,Los Angeles Unified,23,76,0.2174,0.043500000000000004,0.21050000000000002,0.0395,0.16831108,0.033677700000000005,0.1629691,0.0305809,4,1,12,2
Diego Rivera Learning Complex Green Design STEAM Academy,Los Angeles Unified,23,91,0.39130000000000004,0.39130000000000004,0.24180000000000001,0.1429,0.30294446,0.30294446,0.18720156000000002,0.11063318,7,7,17,10
Performing Arts Community at Diego Rivera Learning Complex,Los Angeles Unified,37,103,0.27030000000000004,0.0811,0.3301,0.1359,0.20926626000000004,0.06278762,0.25556342,0.10521377999999999,8,2,26,11
Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine,Los Angeles Unified,64,159,0.5313,0.1563,0.4591,0.22640000000000002,0.41133246,0.12100746,0.35543522,0.17527888000000003,26,8,57,28
Inglewood High,Inglewood Unified,76,27,0.3421,0.0395,0.3704,0.1111,0.26485382,0.0305809,0.28676368,0.08601362,20,2,8,2
Lawndale High,Centinela Valley Union High,220,201,0.4864,0.25,0.5622,0.3234,0.37657088,0.19355,0.43525524000000004,0.25037628,83,43,87,50
Orange Cove High,Kings Canyon Joint Unified,46,65,0.39130000000000004,0.1522,0.47690000000000005,0.1077,0.30294446,0.11783324,0.36921598000000005,0.08338134,14,5,24,5
Carson Senior High,Los Angeles Unified,92,299,0.5,0.25,0.46490000000000004,0.1973,0.3871,0.19355,0.35992558,0.15274966,36,18,108,46
Helen Bernstein High,Los Angeles Unified,43,94,0.3023,0.1163,0.2447,0.17020000000000002,0.23404066,0.09003946,0.18944674,0.13176884000000003,10,4,18,12
APEX Academy,Los Angeles Unified,46,40,0.1522,0.0217,0.17500000000000002,0.025,0.11783324,0.01680014,0.13548500000000002,0.019355,5,1,5,1
Los Angeles High School of the Arts,Los Angeles Unified,48,89,0.4375,0.2083,0.28090000000000004,0.1124,0.33871249999999997,0.16126586,0.21747278000000003,0.08702008,16,8,19,8
Contreras Learning Center-Los Angeles School of Global Studies,Los Angeles Unified,37,42,0.2162,0.1081,0.21430000000000002,0.0714,0.16738204,0.08369102,0.16591106000000003,0.05527788,6,3,7,2
Norte Vista High,Alvord Unified,125,461,0.544,0.304,0.397,0.1497,0.4211648,0.2353568,0.3073574,0.11589774,53,29,142,53
Envision Academy for Arts & Technology,Alameda County Office of Education,61,73,0.377,0.1311,0.4247,0.1918,0.2918734,0.10149762,0.32880274000000004,0.14849156,18,6,24,11
Health Careers Academy,Stockton Unified,74,71,0.3919,0.22970000000000002,0.49300000000000005,0.3662,0.30340898,0.17783374000000002,0.38168060000000004,0.28351204,22,13,27,20
Orosi High,Cutler-Orosi Joint Unified,122,113,0.3361,0.14750000000000002,0.37170000000000003,0.17700000000000002,0.26020862,0.11419450000000002,0.28777014,0.13703340000000003,32,14,33,15
Oscar De La Hoya Animo Charter High,Los Angeles Unified,81,129,0.3951,0.1605,0.4496,0.1938,0.30588642,0.1242591,0.34808032,0.15003996,25,10,45,19
Norwalk High,Norwalk-La Mirada Unified,430,443,0.43260000000000004,0.1953,0.5056,0.228,0.33491892,0.15120126,0.39143552000000004,0.1765176,144,65,173,78
Pacifica High,Oxnard Union High,491,607,0.4033,0.23420000000000002,0.4168,0.2092,0.31223486,0.18131764,0.32268656,0.16196264,153,89,196,98
John H. Glenn High,Norwalk-La Mirada Unified,279,273,0.2652,0.1505,0.4212,0.17220000000000002,0.20531784,0.1165171,0.32609304,0.13331724,57,33,89,36
Madera South High,Madera Unified,130,614,0.4615,0.20770000000000002,0.39740000000000003,0.1743,0.35729330000000004,0.16080134000000001,0.30766708000000004,0.13494306,46,21,189,83
Mission High,San Francisco Unified,131,61,0.44270000000000004,0.3053,0.541,0.2787,0.34273834000000003,0.23636326000000002,0.41884220000000005,0.21576954,45,31,26,13
Edward R. Roybal Learning Center,Los Angeles Unified,97,214,0.4536,0.2268,0.2897,0.1121,0.35117712,0.17558856,0.22428574,0.08678782,34,17,48,19
Alain Leroy Locke College Preparatory Academy,Los Angeles Unified,98,189,0.2857,0.10200000000000001,0.2434,0.08990000000000001,0.22118894,0.07896840000000001,0.18844028000000002,0.06960058000000001,22,8,36,13
Linda Esperanza Marquez High C School of Social Justice,Los Angeles Unified,60,166,0.4167,0.15,0.2711,0.10840000000000001,0.32260914,0.11613,0.20988562,0.08392328,19,7,35,14
Manual Arts Senior High,Los Angeles Unified,208,302,0.3221,0.0913,0.24500000000000002,0.0795,0.24936982,0.07068446,0.18967900000000001,0.061548900000000004,52,15,57,19
Reseda Charter High,Los Angeles Unified,294,278,0.34690000000000004,0.1701,0.3957,0.2374,0.26856998000000004,0.13169142,0.30635094,0.18379508,79,39,85,51
Theodore Roosevelt Senior High,Los Angeles Unified,116,269,0.3879,0.09480000000000001,0.28250000000000003,0.0558,0.30031218000000004,0.07339416000000001,0.21871150000000003,0.04320036,35,9,59,12
School of Business and Tourism at Contreras Learning Complex,Los Angeles Unified,86,114,0.4302,0.19770000000000001,0.3421,0.1404,0.33306084,0.15305934000000002,0.26485382,0.10869767999999999,29,13,30,12
Wilmer Amina Carter High,Rialto Unified,173,518,0.5549000000000001,0.30060000000000003,0.48650000000000004,0.2548,0.42960358000000004,0.23272452000000002,0.37664830000000005,0.19726616000000002,74,40,195,102
Eisenhower Senior High,Rialto Unified,124,476,0.4597,0.3145,0.3613,0.18910000000000002,0.35589974,0.2434859,0.27971846,0.14640122000000003,44,30,133,70
Lifeline Education Charter,Compton Unified,21,56,0.1905,0.0476,0.42860000000000004,0.1786,0.1474851,0.03685192,0.33182212000000005,0.13827212,3,1,19,8
Santee Education Complex,Los Angeles Unified,334,371,0.28140000000000004,0.09280000000000001,0.3235,0.1375,0.21785988000000003,0.07184576000000001,0.2504537,0.1064525,73,24,93,39
Felicitas and Gonzalo Mendez High,Los Angeles Unified,139,204,0.4101,0.1942,0.3971,0.201,0.31749942000000003,0.15034964,0.30743482,0.1556142,44,21,63,32
New Designs Charter School-Watts,Los Angeles Unified,25,19,0.16,0.04,0.2632,0.0526,0.123872,0.030968,0.20376944,0.04072292,3,1,4,1
Ambassador-Global Leadership,Los Angeles Unified,45,66,0.5111,0.2222,0.33330000000000004,0.1515,0.39569362,0.17202724,0.25804086000000004,0.1172913,18,8,17,8
Downtown College Prep - Alum Rock,Santa Clara County Office of Education,19,56,0.4737,0.21050000000000002,0.5357000000000001,0.25,0.36673854,0.1629691,0.41473894000000006,0.19355,7,3,23,11
Benjamin Franklin Senior High,Los Angeles Unified,158,297,0.4494,0.36710000000000004,0.4949,0.3266,0.34792548,0.28420882000000003,0.38315158,0.25285372,55,45,114,75
Communication and Technology at Diego Rivera Learning Complex,Los Angeles Unified,43,105,0.2326,0.1395,0.2,0.0857,0.18007892,0.10800090000000001,0.15484,0.06634894,8,5,16,7
Alliance Margaret M. Bloomfield Technology Academy High,Los Angeles Unified,108,98,0.3981,0.1019,0.42860000000000004,0.2041,0.30820902,0.07889098,0.33182212000000005,0.15801422,33,9,33,15
Aspire Alexander Twilight Secondary Academy,San Juan Unified,26,19,0.4615,0.15380000000000002,0.5263,0.1053,0.35729330000000004,0.11907196000000002,0.40746146,0.08152326,9,3,8,2
"Humphreys College Academy of Business, Law and Education",New Jerusalem Elementary,50,70,0.46,0.24000000000000002,0.34290000000000004,0.1429,0.356132,0.185808,0.26547318000000003,0.11063318,18,9,19,8
Leroy Greene Academy,Natomas Unified,37,78,0.4324,0.1081,0.5513,0.17950000000000002,0.33476408,0.08369102,0.42681646,0.1389689,12,3,33,11
Phineas Banning Senior High,Los Angeles Unified,176,514,0.5455,0.233,0.34240000000000004,0.14200000000000002,0.4223261,0.1803886,0.26508608,0.10993640000000002,74,32,136,57
Fremont High,Oakland Unified,43,23,0.3023,0.0698,0.4348,0.1739,0.23404066,0.05403916,0.33662216,0.13463338,10,2,8,3
Riverside County Education Academy,Riverside County Office of Education,50,44,0.04,0.02,0.25,0.0682,0.030968,0.015484,0.19355,0.05280044,2,1,9,2
Orangewood High (Continuation),Redlands Unified,44,39,0.31820000000000004,0.0455,0.2564,0.051300000000000005,0.24635044000000003,0.035226099999999996,0.19850488000000002,0.03971646,11,2,8,2
McClymonds High,Oakland Unified,45,46,0.2889,0.1111,0.2391,0.06520000000000001,0.22366638,0.08601362,0.18511122,0.05047784,10,4,9,2
Coliseum College Prep Academy,Oakland Unified,22,52,0.36360000000000003,0.09090000000000001,0.3846,0.21150000000000002,0.28149912000000005,0.07037478000000001,0.29775732,0.1637433,6,2,15,9
Madison Park Academy 6-12,Oakland Unified,28,46,0.3929,0.1429,0.36960000000000004,0.1957,0.30418318,0.11063318,0.28614432,0.15151094,9,3,13,7
San Bernardino High,San Bernardino City Unified,94,268,0.5638000000000001,0.2553,0.38430000000000003,0.14930000000000002,0.43649396000000007,0.19765326000000003,0.29752506,0.11558806,41,19,80,31
James Monroe High,Los Angeles Unified,183,361,0.43720000000000003,0.2131,0.313,0.11080000000000001,0.33848024000000004,0.16498202,0.2423246,0.08578136,62,30,87,31
San Fernando Senior High,Los Angeles Unified,192,423,0.5104000000000001,0.2917,0.383,0.20090000000000002,0.39515168000000006,0.22583414000000002,0.2965186,0.15553678,76,43,125,66
"Hilda L. Solis Learning Academy School of Technology, Business and Education",Los Angeles Unified,41,37,0.2439,0.1463,0.1892,0.1351,0.18882738000000002,0.11326546000000001,0.14647864,0.10459442,8,5,5,4
John Henry High,West Contra Costa Unified,44,54,0.5,0.29550000000000004,0.5185000000000001,0.3148,0.3871,0.22877610000000004,0.4014227000000001,0.24371816000000002,17,10,22,13
Leadership High,San Francisco Unified,42,16,0.2857,0.0714,0.4375,0.1875,0.22118894,0.05527788,0.33871249999999997,0.1451625,9,2,5,2
NAVA College Preparatory Academy,Los Angeles Unified,79,113,0.26580000000000004,0.0886,0.2389,0.061900000000000004,0.20578236000000003,0.06859412,0.18495638,0.047922980000000004,16,5,21,5
Fresno High,Fresno Unified,91,245,0.47250000000000003,0.0989,0.46530000000000005,0.1306,0.3658095,0.07656838,0.36023526000000006,0.10111052,33,7,88,25
San Pasqual Valley High,San Pasqual Valley Unified,19,17,0.3158,0.1579,0.3529,0.058800000000000005,0.24449236000000002,0.12224618000000001,0.27321518,0.04552296,5,2,5,1
Wonderful College Prep Academy,Kern County Office of Education,101,113,0.3663,0.21780000000000002,0.4248,0.2124,0.28358946,0.16862076,0.32888016000000003,0.16444008000000002,29,17,37,19
Hawthorne High,Centinela Valley Union High,199,175,0.44220000000000004,0.12560000000000002,0.5143,0.1943,0.34235124,0.09723952000000001,0.39817105999999997,0.15042706,68,19,70,26
Le Grand High,Le Grand Union High,46,65,0.4348,0.2391,0.44620000000000004,0.3385,0.33662216,0.18511122,0.34544804,0.26206670000000004,15,9,22,17
Avenal High,Reef-Sunset Unified,63,59,0.33330000000000004,0.1429,0.4576,0.30510000000000004,0.25804086000000004,0.11063318,0.35427392,0.23620842000000003,16,7,21,14
Augustus F. Hawkins High C Responsible Indigenous Social Entrepreneurship,Los Angeles Unified,28,73,0.1071,0.0357,0.1096,0.0137,0.08291682,0.02763894,0.08485232000000001,0.010606540000000001,2,1,6,1
Linda Esperanza Marquez High B LIBRA Academy,Los Angeles Unified,81,172,0.4198,0.1852,0.5058,0.2849,0.32500916,0.14338184,0.39159036,0.22056958,26,12,67,38
Visual and Performing Arts at Legacy High School Complex,Los Angeles Unified,60,98,0.45,0.0833,0.46940000000000004,0.1327,0.34839000000000003,0.06449086,0.36340948,0.10273634000000001,21,4,36,10
El Camino High (Continuation),Norwalk-La Mirada Unified,86,52,0.0814,0.011600000000000001,0.1346,0.0,0.06301988,0.008980720000000001,0.10420731999999999,0.0,5,1,5,0
Options for Youth-San Juan,San Juan Unified,28,31,0.5357000000000001,0.1429,0.4194,0.129,0.41473894000000006,0.11063318,0.32469948,0.0998718,12,3,10,3
Pomona High,Pomona Unified,130,131,0.4,0.1923,0.5191,0.3053,0.30968,0.14887866,0.40188722,0.23636326000000002,40,19,53,31
ARISE High,Oakland Unified,39,27,0.33330000000000004,0.15380000000000002,0.5185000000000001,0.1111,0.25804086000000004,0.11907196000000002,0.4014227000000001,0.08601362,10,5,11,2
Alliance Cindy and Bill Simon Technology Academy High,Los Angeles Unified,84,108,0.35710000000000003,0.11900000000000001,0.3241,0.1574,0.27646682,0.09212980000000001,0.25091822,0.12185908000000001,23,8,27,13
Indian Springs High,San Bernardino City Unified,65,353,0.4,0.15380000000000002,0.3683,0.1388,0.30968,0.11907196000000002,0.28513786,0.10745896,20,8,101,38
Maywood Center for Enriched Studies,Los Angeles Unified,57,112,0.5088,0.1754,0.3125,0.1607,0.39391296000000003,0.13579468,0.2419375,0.12441394,22,8,27,14
Robert Fulton College Preparatory,Los Angeles Unified,57,180,0.42110000000000003,0.21050000000000002,0.3667,0.1278,0.32601562,0.1629691,0.28389914,0.09894275999999999,19,9,51,18
Los Altos High,Hacienda la Puente Unified,382,382,0.46340000000000003,0.2775,0.4738,0.2539,0.35876428000000005,0.21484050000000002,0.36681596,0.19656938000000002,137,82,140,75
McFarland High,McFarland Unified,66,140,0.3788,0.1061,0.38570000000000004,0.23570000000000002,0.29326696,0.08214262,0.29860894000000004,0.18247894,19,5,42,26
PUC Triumph Charter Academy and PUC Triumph Charter High,Los Angeles Unified,61,66,0.44260000000000005,0.2295,0.4848,0.31820000000000004,0.34266092000000004,0.1776789,0.37533216,0.24635044000000003,21,11,25,16
"Crenshaw Science, Technology, Engineering, Math and Medicine Magnet",Los Angeles Unified,72,158,0.25,0.027800000000000002,0.2215,0.0506,0.19355,0.021522760000000002,0.1714853,0.03917452,14,2,27,6
Frontier High,Oxnard Union High,81,44,0.0247,0.0123,0.0227,0.0,0.01912274,0.00952266,0.01757434,0.0,2,1,1,0
Elizabeth Learning Center,Los Angeles Unified,76,190,0.3947,0.1447,0.3684,0.0789,0.30557674,0.11202674,0.28521528,0.06108438,23,9,54,12
"Oakland Military Institute, College Preparatory Academy",Oakland Unified,79,100,0.4177,0.2278,0.28,0.18000000000000002,0.32338334,0.17636276,0.21677600000000002,0.139356,26,14,22,14
Channel Islands High,Oxnard Union High,421,532,0.3634,0.1948,0.40040000000000003,0.1917,0.28134428,0.15081416,0.30998968000000005,0.14841414,118,63,165,79
Rio Mesa High,Oxnard Union High,352,403,0.4489,0.2983,0.47150000000000003,0.27790000000000004,0.34753838000000004,0.23094386,0.3650353,0.21515018000000002,122,81,147,87
Greenfield High,South Monterey County Joint Union High,106,27,0.42450000000000004,0.0849,0.5556,0.40740000000000004,0.32864790000000005,0.06572958,0.43014552,0.31540908,35,7,12,9
Erma Duncan Polytechnical High,Fresno Unified,55,256,0.5091,0.18180000000000002,0.4063,0.10550000000000001,0.39414522,0.14074956000000002,0.31455746,0.0816781,22,8,81,21
Camino Nuevo High #2,Los Angeles Unified,68,89,0.4706,0.17650000000000002,0.4944,0.1573,0.36433852,0.13664630000000003,0.38276448,0.12178166,25,9,34,11
Natomas High,Natomas Unified,78,228,0.3846,0.2051,0.2982,0.1272,0.29775732,0.15878842,0.23086644,0.09847824000000001,23,12,53,22
Washington High,Washington Unified,82,148,0.439,0.10980000000000001,0.5068,0.25680000000000003,0.3398738,0.08500716000000001,0.39236456000000003,0.19881456000000003,28,7,58,29
Birmingham Community Charter High,Los Angeles Unified,698,639,0.4097,0.2321,0.48510000000000003,0.2551,0.31718974,0.17969182,0.37556442,0.19749842,221,125,240,126
Downtown College Preparatory,San Jose Unified,56,79,0.30360000000000004,0.0714,0.3544,0.1013,0.23504712000000003,0.05527788,0.27437648,0.07842646,13,3,22,6
Engineering and Technology Academy at Esteban E. Torres High No. 3,Los Angeles Unified,48,77,0.25,0.0833,0.22080000000000002,0.12990000000000002,0.19355,0.06449086,0.17094336000000002,0.10056858000000002,9,3,13,8
Pacific High,San Bernardino City Unified,87,181,0.40230000000000005,0.1494,0.3039,0.1381,0.31146066000000006,0.11566548,0.23527938,0.10691702,27,10,43,19
King-Chavez Community High,San Diego Unified,34,30,0.17650000000000002,0.0,0.2333,0.2333,0.13664630000000003,0.0,0.18062086,0.18062086,5,0,5,5
Public Service Community at Diego Rivera Learning Complex,Los Angeles Unified,33,104,0.4242,0.09090000000000001,0.1923,0.1346,0.32841564,0.07037478000000001,0.14887866,0.10420731999999999,11,2,15,11
Vallejo High,Vallejo City Unified,69,48,0.5362,0.2174,0.5208,0.2917,0.41512604000000003,0.16831108,0.40320336,0.22583414000000002,29,12,19,11
Granite Hills High,Porterville Unified,67,82,0.5224,0.1791,0.561,0.3415,0.40444208,0.13865922,0.43432620000000005,0.2643893,27,9,36,22
